subject,image,faces_detected
s1,1.pgm_gaussian.pgm,1
s1,2.pgm_gaussian.pgm,1
s1,3.pgm_gaussian.pgm,1
s1,4.pgm_gaussian.pgm,1
s1,5.pgm_gaussian.pgm,1
s1,6.pgm_gaussian.pgm,1
s1,7.pgm_gaussian.pgm,1
s1,8.pgm_gaussian.pgm,1
s1,9.pgm_gaussian.pgm,1
s1,10.pgm_gaussian.pgm,1
s2,1.pgm_gaussian.pgm,1
s2,2.pgm_gaussian.pgm,1
s2,3.pgm_gaussian.pgm,1
s2,4.pgm_gaussian.pgm,1
s2,5.pgm_gaussian.pgm,1
s2,6.pgm_gaussian.pgm,1
s2,7.pgm_gaussian.pgm,1
s2,8.pgm_gaussian.pgm,1
s2,9.pgm_gaussian.pgm,1
s2,10.pgm_gaussian.pgm,1
s3,1.pgm_gaussian.pgm,1
s3,2.pgm_gaussian.pgm,1
s3,3.pgm_gaussian.pgm,2
s3,4.pgm_gaussian.pgm,1
s3,5.pgm_gaussian.pgm,1
s3,6.pgm_gaussian.pgm,1
s3,7.pgm_gaussian.pgm,1
s3,8.pgm_gaussian.pgm,1
s3,9.pgm_gaussian.pgm,1
s3,10.pgm_gaussian.pgm,1
s4,1.pgm_gaussian.pgm,1
s4,2.pgm_gaussian.pgm,1
s4,3.pgm_gaussian.pgm,1
s4,4.pgm_gaussian.pgm,1
s4,5.pgm_gaussian.pgm,1
s4,6.pgm_gaussian.pgm,1
s4,7.pgm_gaussian.pgm,1
s4,8.pgm_gaussian.pgm,1
s4,9.pgm_gaussian.pgm,1
s4,10.pgm_gaussian.pgm,1
s5,1.pgm_gaussian.pgm,1
s5,2.pgm_gaussian.pgm,1
s5,3.pgm_gaussian.pgm,2
s5,4.pgm_gaussian.pgm,1
s5,5.pgm_gaussian.pgm,2
s5,6.pgm_gaussian.pgm,2
s5,7.pgm_gaussian.pgm,1
s5,8.pgm_gaussian.pgm,1
s5,9.pgm_gaussian.pgm,1
s5,10.pgm_gaussian.pgm,1
s6,1.pgm_gaussian.pgm,2
s6,2.pgm_gaussian.pgm,1
s6,3.pgm_gaussian.pgm,1
s6,4.pgm_gaussian.pgm,1
s6,5.pgm_gaussian.pgm,2
s6,6.pgm_gaussian.pgm,1
s6,7.pgm_gaussian.pgm,2
s6,8.pgm_gaussian.pgm,1
s6,9.pgm_gaussian.pgm,2
s6,10.pgm_gaussian.pgm,1
s7,1.pgm_gaussian.pgm,1
s7,2.pgm_gaussian.pgm,1
s7,3.pgm_gaussian.pgm,1
s7,4.pgm_gaussian.pgm,1
s7,5.pgm_gaussian.pgm,1
s7,6.pgm_gaussian.pgm,1
s7,7.pgm_gaussian.pgm,1
s7,8.pgm_gaussian.pgm,1
s7,9.pgm_gaussian.pgm,1
s7,10.pgm_gaussian.pgm,1
s8,1.pgm_gaussian.pgm,1
s8,2.pgm_gaussian.pgm,1
s8,3.pgm_gaussian.pgm,1
s8,4.pgm_gaussian.pgm,1
s8,5.pgm_gaussian.pgm,1
s8,6.pgm_gaussian.pgm,1
s8,7.pgm_gaussian.pgm,1
s8,8.pgm_gaussian.pgm,1
s8,9.pgm_gaussian.pgm,1
s8,10.pgm_gaussian.pgm,1
s9,1.pgm_gaussian.pgm,1
s9,2.pgm_gaussian.pgm,1
s9,3.pgm_gaussian.pgm,1
s9,4.pgm_gaussian.pgm,1
s9,5.pgm_gaussian.pgm,1
s9,6.pgm_gaussian.pgm,1
s9,7.pgm_gaussian.pgm,1
s9,8.pgm_gaussian.pgm,1
s9,9.pgm_gaussian.pgm,1
s9,10.pgm_gaussian.pgm,2
s10,1.pgm_gaussian.pgm,1
s10,2.pgm_gaussian.pgm,1
s10,3.pgm_gaussian.pgm,1
s10,4.pgm_gaussian.pgm,1
s10,5.pgm_gaussian.pgm,1
s10,6.pgm_gaussian.pgm,1
s10,7.pgm_gaussian.pgm,1
s10,8.pgm_gaussian.pgm,1
s10,9.pgm_gaussian.pgm,1
s10,10.pgm_gaussian.pgm,1
s11,1.pgm_gaussian.pgm,1
s11,2.pgm_gaussian.pgm,1
s11,3.pgm_gaussian.pgm,1
s11,4.pgm_gaussian.pgm,1
s11,5.pgm_gaussian.pgm,1
s11,6.pgm_gaussian.pgm,1
s11,7.pgm_gaussian.pgm,1
s11,8.pgm_gaussian.pgm,1
s11,9.pgm_gaussian.pgm,1
s11,10.pgm_gaussian.pgm,1
s12,1.pgm_gaussian.pgm,1
s12,2.pgm_gaussian.pgm,1
s12,3.pgm_gaussian.pgm,1
s12,4.pgm_gaussian.pgm,1
s12,5.pgm_gaussian.pgm,1
s12,6.pgm_gaussian.pgm,1
s12,7.pgm_gaussian.pgm,1
s12,8.pgm_gaussian.pgm,1
s12,9.pgm_gaussian.pgm,2
s12,10.pgm_gaussian.pgm,1
s13,1.pgm_gaussian.pgm,1
s13,2.pgm_gaussian.pgm,1
s13,3.pgm_gaussian.pgm,1
s13,4.pgm_gaussian.pgm,1
s13,5.pgm_gaussian.pgm,1
s13,6.pgm_gaussian.pgm,1
s13,7.pgm_gaussian.pgm,1
s13,8.pgm_gaussian.pgm,1
s13,9.pgm_gaussian.pgm,1
s13,10.pgm_gaussian.pgm,1
s14,1.pgm_gaussian.pgm,1
s14,2.pgm_gaussian.pgm,1
s14,3.pgm_gaussian.pgm,1
s14,4.pgm_gaussian.pgm,1
s14,5.pgm_gaussian.pgm,1
s14,6.pgm_gaussian.pgm,1
s14,7.pgm_gaussian.pgm,1
s14,8.pgm_gaussian.pgm,1
s14,9.pgm_gaussian.pgm,1
s14,10.pgm_gaussian.pgm,1
s15,1.pgm_gaussian.pgm,1
s15,2.pgm_gaussian.pgm,1
s15,3.pgm_gaussian.pgm,1
s15,4.pgm_gaussian.pgm,1
s15,5.pgm_gaussian.pgm,1
s15,6.pgm_gaussian.pgm,1
s15,7.pgm_gaussian.pgm,1
s15,8.pgm_gaussian.pgm,1
s15,9.pgm_gaussian.pgm,1
s15,10.pgm_gaussian.pgm,1
s16,1.pgm_gaussian.pgm,1
s16,2.pgm_gaussian.pgm,1
s16,3.pgm_gaussian.pgm,1
s16,4.pgm_gaussian.pgm,1
s16,5.pgm_gaussian.pgm,1
s16,6.pgm_gaussian.pgm,1
s16,7.pgm_gaussian.pgm,1
s16,8.pgm_gaussian.pgm,1
s16,9.pgm_gaussian.pgm,1
s16,10.pgm_gaussian.pgm,1
s17,1.pgm_gaussian.pgm,1
s17,2.pgm_gaussian.pgm,1
s17,3.pgm_gaussian.pgm,1
s17,4.pgm_gaussian.pgm,1
s17,5.pgm_gaussian.pgm,1
s17,6.pgm_gaussian.pgm,1
s17,7.pgm_gaussian.pgm,1
s17,8.pgm_gaussian.pgm,1
s17,9.pgm_gaussian.pgm,1
s17,10.pgm_gaussian.pgm,1
s18,1.pgm_gaussian.pgm,1
s18,2.pgm_gaussian.pgm,1
s18,3.pgm_gaussian.pgm,1
s18,4.pgm_gaussian.pgm,1
s18,5.pgm_gaussian.pgm,1
s18,6.pgm_gaussian.pgm,1
s18,7.pgm_gaussian.pgm,1
s18,8.pgm_gaussian.pgm,1
s18,9.pgm_gaussian.pgm,1
s18,10.pgm_gaussian.pgm,1
s19,1.pgm_gaussian.pgm,1
s19,2.pgm_gaussian.pgm,1
s19,3.pgm_gaussian.pgm,1
s19,4.pgm_gaussian.pgm,1
s19,5.pgm_gaussian.pgm,1
s19,6.pgm_gaussian.pgm,1
s19,7.pgm_gaussian.pgm,1
s19,8.pgm_gaussian.pgm,1
s19,9.pgm_gaussian.pgm,1
s19,10.pgm_gaussian.pgm,1
s20,1.pgm_gaussian.pgm,1
s20,2.pgm_gaussian.pgm,1
s20,3.pgm_gaussian.pgm,1
s20,4.pgm_gaussian.pgm,1
s20,5.pgm_gaussian.pgm,1
s20,6.pgm_gaussian.pgm,1
s20,7.pgm_gaussian.pgm,1
s20,8.pgm_gaussian.pgm,1
s20,9.pgm_gaussian.pgm,1
s20,10.pgm_gaussian.pgm,1
s21,1.pgm_gaussian.pgm,1
s21,2.pgm_gaussian.pgm,1
s21,3.pgm_gaussian.pgm,1
s21,4.pgm_gaussian.pgm,1
s21,5.pgm_gaussian.pgm,1
s21,6.pgm_gaussian.pgm,1
s21,7.pgm_gaussian.pgm,1
s21,8.pgm_gaussian.pgm,1
s21,9.pgm_gaussian.pgm,1
s21,10.pgm_gaussian.pgm,1
s22,1.pgm_gaussian.pgm,1
s22,2.pgm_gaussian.pgm,1
s22,3.pgm_gaussian.pgm,1
s22,4.pgm_gaussian.pgm,1
s22,5.pgm_gaussian.pgm,1
s22,6.pgm_gaussian.pgm,1
s22,7.pgm_gaussian.pgm,1
s22,8.pgm_gaussian.pgm,1
s22,9.pgm_gaussian.pgm,1
s22,10.pgm_gaussian.pgm,1
s23,1.pgm_gaussian.pgm,1
s23,2.pgm_gaussian.pgm,1
s23,3.pgm_gaussian.pgm,1
s23,4.pgm_gaussian.pgm,1
s23,5.pgm_gaussian.pgm,1
