Image,MSE_Gaussian,PSNR_Gaussian,MSE_Median,PSNR_Median
1.pgm,84.4494,28.864837925454275,100.4504,28.111286903914383
2.pgm,76.6043,29.2882721246431,84.2252,28.87638309943832
3.pgm,83.4388,28.917123113402056,100.6795,28.101393108030685
4.pgm,74.9722,29.381801058062234,83.5696,28.910320374156882
5.pgm,75.4313,29.355287683586297,90.4509,28.566674683554485
6.pgm,88.5379,28.659511439843747,94.5044,28.376283317106548
7.pgm,82.0628,28.98934029765123,105.365,27.9038398937654
8.pgm,77.5026,29.237640887265997,101.2938,28.074974970297557
9.pgm,80.217,29.088139449052587,103.2705,27.991040811384124
10.pgm,77.1221,29.259015141692593,98.0253,28.21742180763861
1.pgm,121.2441,27.29419746787726,173.0401,25.74933603457705
2.pgm,108.4966,27.77664232124603,158.0904,26.141748625587965
3.pgm,117.6492,27.424913824945595,166.066,25.927996358449477
4.pgm,105.8293,27.884744373402633,153.9221,26.25779380939047
5.pgm,109.4561,27.738403910122173,159.9026,26.092248354801946
6.pgm,107.4715,27.817870504185972,157.0602,26.170142147219295
7.pgm,123.546,27.212516718829427,171.9808,25.776003960504156
8.pgm,117.7002,27.423031600565693,166.4351,25.91835439581456
9.pgm,112.0777,27.635611508631893,160.207,26.083988728715212
10.pgm,122.6111,27.24550572165656,172.374,25.76608601166189
1.pgm,74.3246,29.419477802699152,95.5901,28.326674449308015
2.pgm,74.0621,29.43484338740742,96.6108,28.280546825038776
3.pgm,73.3803,29.475008779222488,100.6172,28.104081333628667
4.pgm,73.8409,29.447833794771988,105.5829,27.894867744598287
5.pgm,69.8757,29.68754189281272,94.353,28.383246475409656
6.pgm,83.5563,28.911011603538025,115.683,27.498108182397942
7.pgm,85.9075,28.790492800817464,117.6868,27.423526066790572
8.pgm,86.5132,28.759979846193012,119.7545,27.3478851904478
9.pgm,86.8711,28.742050400927447,120.4099,27.324181651536232
10.pgm,87.9245,28.689704535730833,122.4102,27.252627533594257
1.pgm,103.074,27.99931230798236,149.1614,26.394239099556497
2.pgm,107.3299,27.823596361423913,151.4361,26.32850944343556
3.pgm,107.2724,27.82592363688247,149.3681,26.388225041732753
4.pgm,75.5265,29.349810014971858,104.046,27.95854972248373
5.pgm,78.3763,29.188956034802484,111.276,27.66678855037318
6.pgm,77.6797,29.227728212155952,109.5046,27.73647997740577
7.pgm,84.2443,28.87539834853209,118.1616,27.406039978390133
8.pgm,105.0381,27.917335035269538,151.0846,26.33860161756346
9.pgm,108.2432,27.786797380156003,154.0686,26.253662246560992
10.pgm,80.6396,29.065319960103047,107.4041,27.820595006087565
1.pgm,68.3874,29.781042681323562,84.6597,28.854036356925388
2.pgm,68.8258,29.75329092730384,87.1766,28.726804339016937
3.pgm,66.8375,29.880601637595134,89.335,28.620587191253755
4.pgm,66.2681,29.917758419343464,86.7338,28.748919866570134
5.pgm,78.0247,29.208482533619406,98.1963,28.2098523682695
6.pgm,73.8633,29.446516540899825,99.4051,28.1567169432735
7.pgm,69.6852,29.699398100416104,86.8209,28.74456077372511
8.pgm,68.9015,29.748516841760786,92.3365,28.477069522024365
9.pgm,72.1387,29.549120491665967,96.4527,28.287659715143548
10.pgm,75.0074,29.379762492011427,100.9549,28.089529579318224
1.pgm,92.0229,28.491844454128106,126.8066,27.099385026771973
2.pgm,89.7344,28.6012139757619,125.5274,27.14341827321885
3.pgm,90.3639,28.570853945743345,126.8615,27.09750518713674
4.pgm,94.8626,28.35985337218949,134.1181,26.855929685519303
5.pgm,88.7829,28.647510341746436,120.5386,27.319542178359477
6.pgm,89.9865,28.589030004871724,122.2864,27.257022009156813
7.pgm,88.0004,28.68595714656401,119.8912,27.342930537631972
8.pgm,91.8324,28.500844263044108,124.5293,27.17808814004706
9.pgm,92.9081,28.450267821600214,127.545,27.07416922735679
10.pgm,92.7498,28.457673790658944,128.5663,27.039532153126935
1.pgm,104.4639,27.94114125343747,140.4708,26.65494305074047
2.pgm,114.4252,27.545586806790343,163.4517,25.99690918993555
3.pgm,113.5204,27.58006448137602,154.684,26.23634966826422
4.pgm,128.0069,27.05846980664109,188.292,25.382484924160998
5.pgm,128.9264,27.027385047994468,193.9577,25.253733353689007
6.pgm,105.9909,27.878117809751796,144.5644,26.530190028130992
7.pgm,104.0844,27.95694717828122,145.7151,26.49575802187279
8.pgm,103.5042,27.9812238788835,138.0952,26.729017775082646
9.pgm,104.4599,27.941307551190796,142.1819,26.602360473886737
10.pgm,144.2337,26.54013616336797,217.9146,24.747940324710274
1.pgm,65.7761,29.95012241169303,83.3449,28.92201331024497
2.pgm,69.021,29.740991136589535,83.1779,28.930724093728358
3.pgm,78.627,29.175086553186645,109.9698,27.718069256561403
4.pgm,62.4815,30.173289137198065,79.5921,29.122103973597838
5.pgm,80.6719,29.063580752178883,104.7851,27.92780828676616
6.pgm,84.072,28.88428981838612,112.4604,27.620807369898863
7.pgm,64.1789,30.056880916737736,80.0701,29.096099899675707
8.pgm,76.6324,29.28667933713485,99.2081,28.165332286160304
9.pgm,72.1295,29.54967439186559,91.4527,28.518838289910523
10.pgm,79.1943,29.14386436445473,101.3642,28.071957637376496
